"NGC 2237","NGC  2237",\N,97.6504,4.98072,\N,\N,\N,\N,"Need"
"NGC 2238","NGC  2238",\N,97.62,5.05,\N,\N,\N,\N,"Need"
"NGC 2239","NGC  2244",\N,98.045,4.9139,\N,"88.0 ",\N,\N,"Need"
"NGC 2326","NGC  2326",\N,107.046,50.6819,\N,"2.1  ",\N,\N,"Need"
"NGC 2441","NGC  2441",\N,117.978,73.0157,\N,"1.8  ",\N,\N,"Need"
"NGC 2474","NGC  2474",\N,119.496,52.8573,\N,"0.6  ",\N,\N,"Need"
"NGC 2525","NGC  2525",\N,121.409,-11.427,\N,"1.9  ",\N,\N,"Need"
"NGC 281","NGC   281",\N,13.1046,56.565,\N,\N,\N,\N,"Need"
"NGC 4038","NGC  4038",\N,180.471,-18.8676,\N,"5.2  ",\N,\N,"Need"
"NGC 4319","NGC  4319",\N,185.433,75.3225,\N,"2.9  ",\N,\N,"Need"
"NGC 4676","NGC  4676",\N,191.542,30.7316,\N,"2.3  ",\N,\N,"Need"
"NGC 4755","NGC  4755",\N,193.415,-60.3711,\N,"10.3 ",\N,\N,"Need"
"NGC 5893","NGC  5893",\N,228.392,41.9588,\N,"1.1  ",\N,\N,"Need"
"NGC 6188","NGC  6188",\N,250,-48.5,\N,\N,\N,\N,"Need"
"NGC 6231","NGC  6231",\N,253.545,-41.8119,\N,"120.0",\N,\N,"Need"
"NGC 6334","NGC  6334",\N,260.219,-36.131,\N,"18.3 ",\N,\N,"Need"
"NGC 6357","NGC  6357",\N,261.185,-34.203,\N,"6.2  ",\N,\N,"Need"
"NGC 6772","NGC  6772",\N,288.652,-2.70696,\N,"1.1  ",\N,\N,"Need"
"NGC 6781","NGC  6781",\N,289.617,6.53869,\N,"1.8  ",\N,\N,"Need"
"NGC 6888","HD 192163",\N,303.027,38.3549,"7.5  ",\N,\N,\N,"Need"
"NGC 6894","NGC  6894",\N,304.1,30.5648,\N,"0.7  ",\N,\N,"Need"
"NGC 6992","NGC  6992",\N,314.079,31.743,\N,\N,\N,\N,"Need"
"NGC 6995","NGC  6995",\N,314.25,31.22,\N,\N,\N,\N,"Need"
"NGC 7000","NGC  7000",\N,314.696,44.33,\N,\N,\N,\N,"Need"
"NGC 7023","NGC  7023",\N,315.404,68.1633,\N,\N,\N,\N,"Need"
"NGC 7635","NGC  7635",\N,350.201,61.2017,\N,"41.7 ",\N,\N,"Need"
"NGC 7662","NGC  7662",\N,351.474,42.535,\N,"0.4  ",\N,\N,"Need"
"NGC 896","NGC   896",\N,36.45,61.98,\N,\N,\N,\N,"Need"
"abell 1656","ACO  1656",\N,194.935,27.9125,\N,"30.0 ",\N,\N,"Need"
"abell 194","ACO   194",\N,21.5054,-1.3672,\N,"54.3 ",\N,\N,"Need"
"abell 85","ACO    85",\N,10.4009,-9.3251,\N,"21.7 ",\N,\N,"Need"
"barnard 33","NAME Horsehead Nebula",\N,85.2458,-2.4583,\N,"6.0  ",\N,\N,"Need"
"barnard 72","NAME Snake DCld",\N,260.913,-23.695,\N,\N,\N,\N,"Need"
"cloverleaf","QSO J1415+1129",\N,213.943,11.4954,"17.2 ",\N,\N,\N,"Need"
"dwingeloo 1","NAME Cas 2",\N,44.2151,58.9117,\N,\N,\N,\N,"Need"
"hd 1400","HD   1400",\N,4.61991,62.2028,"7.0  ",\N,\N,\N,"Need"
"lalande 21185","HD  95735",\N,165.834,35.9699,"7.5  ",\N,\N,\N,"Need"
"lbn 777","LBN 168.10-19.04",\N,61.2,26.4,\N,\N,\N,\N,"Need"
"ldn 1373","LDN 1373",\N,39.45,61.22,\N,"208.0",\N,\N,"Need"
"maffei 1","UGCA  34",\N,39.1478,59.6549,\N,\N,\N,\N,"Need"
"maffei 2","UGCA  39",\N,40.4795,59.6041,\N,\N,\N,\N,"Need"
"sh 2-101","LBN 071.58+02.86",5,299.979,35.277,\N,\N,\N,\N,"Need"
"sh 2-115","LBN   357",5,308.758,47.04,\N,\N,\N,\N,"Need"
"sh 2-173","LBN 119.57-00.92",5,5.317,61.725,\N,\N,\N,\N,"Need"
"sh 2-188","SH  2-188",6,22.6382,58.414,"17.4 ",\N,\N,\N,"Need"
"sh 2-190","IC 1805",5,38.21,61.4711,\N,"13.3 ",\N,\N,"Need"
"sh 2-240","LBN 180.05-01.66",7,85.28,28.08,\N,\N,\N,\N,"Need"
"sh 2-45","SH  2-45",\N,275.088,-16.2269,\N,\N,\N,\N,"Need"
"ss 433","SS 433",\N,287.957,4.98273,"14.6 ",\N,\N,\N,"Need"
"ugc 12914","Z 477-40",\N,0.409675,23.4837,\N,"2.3  ",\N,\N,"Need"
"ugc 3685","Z 285-16",\N,107.275,61.5956,\N,"2.2  ",\N,\N,"Need"
"ugc 3697","Z 330-26",\N,107.844,71.8364,\N,"3.2  ",\N,\N,"Need"
"wolf 359","Wolf  359",\N,164.12,7.01472,"13.5 ",\N,\N,\N,"Need"
